FID,Shape *,OBJECTID,ID,COMMUNE_IN,COMMUNE,LIEU_IGN,VESTIGES_I,CHRONO_BEG,DATE_START,CHRONO_END,DATE_ENDE,TSlice_1,TSlice_2,TSlice_3,TSlice_4,TSlice_5,TSlice_6,PROTOHISTO,HISTOIRE,AGE_DU_BRO,AGE_DU_FER,GALLO_ROMA,MOYEN_AGE,BRONZE_ANC,BRONZE_FIN,PREMIER_AG,SECOND_AGE,REPUBLIQUE,HAUT_EMPIR,BAS_EMPIRE,HAUT_MOYEN,MOYEN_AG_1,BZ_FINAL_1,BZ_FINAL_2,BZ_FINAL_3,HA_A,HA_B,HA_C,HA_D,LT_A_LT_I,LT_B_LT_II,LT_C__T_II,LT_FINAL,LT_D_LT_IV,EZ_8__Jh_,EZ__7__Jh_,EZ__6__Jh_,EZ__5__Jh_,EZ__4__Jh_,EZ__3__Jh_,RE_2___Jh_,RE_1__Jh_,HE_1__Jh_,HE_2__Jh_,HE_3__Jh_,BE_4__Jh_,BE_5__Jh_,BRF_2A,BRF_2B,BRF_3A,BRF_3B,HA_A1,HA_A2,HA_B1,HA_B2,HA_B3,HA_C1,HA_C2,HA_D1,HA_D2,HA_D3,LT_A1,LT_A2,LT_B1,LT_B2,LT_C1,LT_C2,LT_D1,LT_D2,RE_1__H__2,RE_2__H__2,RE_1__H__1,HE_2__H__1,HE_1__H__1,HE_2__H__2,HE_1__H__2,HE_2__H__3,HE_1__H__3,HE_2__H__4,BE_1__H__4,BE_2__H__4,BE_1__H__5,BE_2__H__5,xalt,yalt,DEPARTEMEN,REGION,Siedlungss,x,y
0,Point,1,19,26005,Allan,Beauvoir. pente nord de Ramette. au sud de la D 126,sanctuaire païen,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843539.1,6380349.78,Drôme,Rhône-Alpes,Heiligtum,44.51,4.81
1,Point,2,23,26005,Allan,Les Bruyères. nord de la ferme des Ruches,villa,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841595.9,6380821.72,Drôme,Rhône-Alpes,Villa,44.51,4.78
2,Point,3,26,26005,Allan,Grand Bois,habitat,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841548.35,6379450.99,Drôme,Rhône-Alpes,Siedlung,44.5,4.78
3,Point,4,33,26005,Allan,Au sud du plateau de Bondonneau,villa,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841989.59,6381747.28,Drôme,Rhône-Alpes,Villa,44.52,4.79
4,Point,5,34,26005,Allan,Colas,villa,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840740.63,6381856.13,Drôme,Rhône-Alpes,Villa,44.52,4.77
5,Point,6,56,26005,Allan,Beauvoir,agglomération secondaire,REPUBLIQUE,-120,HAUT MOYEN AGE,1032,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.3,0.3,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843178.08,6380402.75,Drôme,Rhône-Alpes,Kleinstadt,44.51,4.8
6,Point,7,95,26016,Aubres,Bourg,atelier de terre cuite architecturale,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872697.86,6366760.44,Drôme,Rhône-Alpes,Teil der Siedlung,44.38,5.17
7,Point,8,97,26016,Aubres,L'Or Vert. chemin du Col de Chicogne,thermes,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872419.02,6365880.41,Drôme,Rhône-Alpes,Teil der Siedlung,44.37,5.16
8,Point,9,98,26016,Aubres,Bourg,villa,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872908.13,6366800.67,Drôme,Rhône-Alpes,Villa,44.38,5.17
9,Point,10,112,26020,Aurel,Saudon. près du ruisseau de Chacuse,villa,GALLO-ROMAIN,-120,GALLO-ROMAIN,443,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857647.66,6393383.42,Drôme,Rhône-Alpes,Villa,44.62,4.99
